League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Egypt Division 2;Egypt;259,0;257,0;2,0;0,72;0,11;0,11;0,57;1,05;0,94;0,53;0,41;0,59;21,0;0,57;0,0;0,0;0,29
Austria Regionalliga Ost;Austria;257,0;257,0;3,09;0,62;0,16;0,45;1,19;1,77;1,32;0,57;0,52;0,48;33,0;0,42;12,0;0,5;0,46
Greece Amateur Cup;Greece;257,0;257,0;2,92;0,63;0,15;0,07;1,08;1,5;1,42;0,51;0,45;0,55;43,0;0,4;50,0;0,52;0,46
Portugal U23 League;Portugal;255,0;255,0;2,85;0,53;0,14;0,15;1,35;1,5;1,35;0,53;0,61;0,39;6,0;0,67;0,0;0,0;0,33
Paraguay Reserve League;Paraguay;255,0;255,0;3,11;0,6;0,17;0,39;1,24;1,75;1,36;0,56;0,55;0,45;22,0;0,82;11,0;0,55;0,68
Chile Liga de Primera;Chile;254,0;253,0;2,66;0,64;0,11;0,43;0,95;1,54;1,12;0,58;0,5;0,5;33,0;0,7;1,0;0,0;0,35
Finland Cup;Finland;254,0;254,0;3,95;0,61;0,18;1,1;1,55;1,43;2,52;0,36;0,54;0,46;30,0;0,6;100,0;0,46;0,53
Japan J2-League;Japan;253,0;253,0;2,51;0,65;0,12;0,09;0,88;1,3;1,21;0,52;0,53;0,47;13,0;0,31;2,0;0,0;0,15
Mexico Liga MX U19;Mexico;253,0;251,0;2,95;0,63;0,16;0,32;1,11;1,64;1,32;0,55;0,6;0,4;17,0;0,65;0,0;0,0;0,32
Chile Primera B;Chile;253,0;252,0;2,48;0,64;0,1;0,47;0,9;1,48;1,0;0,6;0,51;0,49;5,0;1,0;0,0;0,0;0,5
Australia New South Wales Premier League;Australia;253,0;253,0;2,85;0,6;0,15;0,04;1,14;1,45;1,41;0,51;0,5;0,5;21,0;0,76;7,0;0,29;0,52
Norway Eliteserien;Norway;251,0;250,0;3,12;0,55;0,13;0,48;1,4;1,8;1,32;0,58;0,55;0,45;61,0;0,48;19,0;0,58;0,53
